3, 1, 624, 282, 63, 117, -1, -1, -1, -1
4, 1, 624, 280, 64, 119, -1, -1, -1, -1
5, 1, 624, 278, 64, 119, -1, -1, -1, -1
6, 1, 624, 278, 64, 119, -1, -1, -1, -1
7, 1, 624, 277, 64, 119, -1, -1, -1, -1
7, 2, 617, 362, 59, 94, -1, -1, -1, -1
8, 2, 616, 361, 59, 94, -1, -1, -1, -1
8, 1, 624, 276, 63, 119, -1, -1, -1, -1
9, 2, 615, 361, 58, 93, -1, -1, -1, -1
9, 1, 623, 274, 62, 122, -1, -1, -1, -1
10, 2, 615, 361, 58, 93, -1, -1, -1, -1
10, 1, 623, 273, 61, 123, -1, -1, -1, -1
11, 2, 619, 351, 52, 104, -1, -1, -1, -1
11, 1, 622, 272, 61, 124, -1, -1, -1, -1
12, 2, 618, 351, 51, 104, -1, -1, -1, -1
12, 1, 621, 271, 61, 125, -1, -1, -1, -1
13, 2, 617, 351, 50, 105, -1, -1, -1, -1
13, 1, 621, 270, 60, 126, -1, -1, -1, -1
14, 2, 616, 351, 50, 105, -1, -1, -1, -1
14, 1, 621, 269, 60, 127, -1, -1, -1, -1
15, 2, 615, 351, 50, 106, -1, -1, -1, -1
15, 1, 621, 269, 59, 127, -1, -1, -1, -1
16, 2, 616, 348, 50, 106, -1, -1, -1, -1
16, 1, 620, 269, 59, 128, -1, -1, -1, -1
17, 2, 616, 348, 50, 107, -1, -1, -1, -1
17, 1, 619, 269, 59, 129, -1, -1, -1, -1
18, 2, 616, 348, 50, 108, -1, -1, -1, -1
18, 1, 619, 270, 59, 129, -1, -1, -1, -1
19, 2, 616, 348, 49, 109, -1, -1, -1, -1
19, 1, 618, 270, 59, 130, -1, -1, -1, -1
20, 2, 615, 348, 49, 110, -1, -1, -1, -1
20, 1, 617, 270, 59, 131, -1, -1, -1, -1
21, 2, 616, 348, 49, 108, -1, -1, -1, -1
21, 1, 616, 270, 59, 132, -1, -1, -1, -1
22, 2, 616, 348, 49, 109, -1, -1, -1, -1
22, 1, 615, 270, 59, 133, -1, -1, -1, -1
23, 2, 616, 348, 48, 109, -1, -1, -1, -1
23, 1, 616, 270, 58, 133, -1, -1, -1, -1
24, 2, 616, 348, 47, 109, -1, -1, -1, -1
24, 1, 615, 270, 58, 134, -1, -1, -1, -1
25, 2, 616, 346, 47, 108, -1, -1, -1, -1
25, 1, 614, 270, 58, 135, -1, -1, -1, -1
26, 2, 616, 345, 47, 109, -1, -1, -1, -1
26, 1, 613, 270, 58, 136, -1, -1, -1, -1
27, 2, 616, 344, 47, 110, -1, -1, -1, -1
27, 1, 612, 270, 58, 137, -1, -1, -1, -1
